school_name,comment
东南大学成贤学院,"五星,分手,有个,东南大学,叙利亚,民办,步数,校徽,能带,更逆天,名不虚传,丑斌,没吃过,比去,经管,晨跑,哥们,孙昊,兄弟,野猪,次次"
东莞理工学院,"学校,专业,满分,我莞,舍友,垃圾,理工,分数线,专是,top3,莞砖,明达,有没有,二本,混混,麻省理工,松山湖,外卖,啥时候,15,东莞市,公办,政策,改大年,满昏,高校,湖里,陈华桥,23,digi,缑昱甫,大莞,法社,破防,改不改,我大莞,双标,10,牢底,看不上,打昏,一分"
东莞职业技术学院,"棒棒,还行,公办,廖泽,比鱼,12,战俘营,打六星,奇缘,六星,100,拉拉,鼻祖,求拉"
东营科技职业学院,"上枪,汪汪,整点,他整,女中豪杰,民办,发工资,小熊,WiFi,下限,厕所,学生会,学校,一分钟,女主播,一群,大二,退费,高校,同学,升旗,晚自习,一分,出生,想象"
东营职业学院,"石大,闭馆,桑拿房,我糙,我下,媳妇,石油化工,东科,升学率,比东,细说,翻山越岭,有钱能使鬼推磨,小鱼,勾史,欢迎您,不来,史中史,东职,我王,OK,威胁"
中北大学,"继军,懂得,七子,高考,yuchen,租得,驾校,六楼,上兰村,周六日,活着,兵工,院孙瑞洋求,勾式,轩哥,舍友,hxd,上兰,学费,快逃,男女比例,鲨臂,告诉,中北大学,wy13,蚊蝇,院孙瑞洋,公办,吊打,军工,纯带,风吹,李金瑞,耿安涛,军爷,恶心,纯狱,陋室铭,人拉史,工学院,喜欢"
中华女子学院,"隔壁,满分,满昏,四颗星,帝都,女院,差评,憋着,展开,太妹,升双"
中南大学,"湘雅,赵镇,主干道,高峰期,退学,双行,名气,设置,没落,爱心,几个,研究生,中南大学,四年,北方,长沙,读个,湖南大学,公办,师大,医德,C9,2023,铁道,食堂,不封校,硕士,拉满,985,本科,还会,张展,校本部,估计,往日,度过,关怀,满昏,男子,211,读书,在乎,电动车,校长,100000,我临,满地跑,win,校园,母校,李建成,大学,star,学弟,来到,天差地别,强多,润到,中南,低分,校训,四分,后悔,21,主是,锁车,疫情,违者,10,一楼,湘雅医学院,宣传,qzh,剩下,左家拢,矿业"
中南林业科技大学,"能闻,985,扣一星,修路,丝袜,生科院,大一,过桥,溜冰场,吃喝玩乐,开玩笑,院士,七分裤,下载速度,ly,母校,范绩,五分,公办,22,人寝,网吧,zpc,抛开,CJ,人间天堂,螺螺,就行,建不起,臭味,螺蛳,螺专,wlqy,八人,电竞,这特,跟史,同意,林大后"
中南林业科技大学涉外学院,"分大,城里,望望,退费,本科,室友,冒充,神气,W105,体育馆,骗子,民办,颜学剑,鲁冠,科大"
中南民族大学,"男酮,差得,211,最爽,满昏,一星,限电,千万次,外卖,大专,分给,冒充,打游戏,关山,公办,民大,军事院校,理工学院,这所,咋排,满分,湖北省,校训,就行了,很漂亮,池中物,我儿,哈啰,科大,断网,没花,早签,各样,墙墙,六颗,男厕,双非,好好,保卫处,爱死,露牛,天才,第一年"
中南财经政法大学,"若智,南教北教,情校,大学,三大,楼后,茶山,麻将机,母校,大真,十大,女朋友,武大,环六配,吊扇,唱歌跳舞,滨湖,昔日,吴彦祖,一条街,稀里糊涂,满分,美食节,建议,小吃街,彳亍,变得,最爽,杨蕾姆,喜欢,本科,临湖,中区,翻新,山北,别住,煲仔饭,公办,学校,环湖,华农,梨膏,不辛,211,jsy,财经,赶紧,破财,中南,校友,单车,插座,球场,北外,财大,人才,LSE,教室,厚德,文明,降分,听过,适合,西财西政,南湖,房东,永远,刘都"
中原工学院,"小丑,家祭,好几个,有个,调侃,代工厂,院长,真焯,早通,真滴,好消息,画饼,免费,辅导员,原神,17,早晚自习,结伴,亲情,电子科技,升达,神学院,加油,大专,软件工程,zut,神话,工程学院,挺大,有生之年,老师,暖气,勾实,鼻涕,母校"
中原科技学院,"期中考试,妹妹,差评,一星,旅管,之大,泥马,住宿费,单车,一两万,学渣,一件,民办,张博涵,服务水平,早读,黑社会,哥们,学校,全是,勾式,打卡,无脑,安全感,使香枝,还给,职业,隔壁,大霸,郑州"
中国人民大学,"北大,白月光,库里,知识,校徽,教出,211,我人,我梦校,不骂,人民大学,黑人,五星,有空,研发,中国,白人,校友,组就,考不上,呜呜,阿姨,瞎说,情校,学子,公办,表率,小西,人大附中,最破,老外,思维,清北,室友,品园,栋梁,晋城,东风,人附,考研,人大,明明,棒子,收留,考上,神校,985,文科生,国商,不错,赶不上,上岸,研究生,哈哈哈,下学期,头像,教三,我前,似狗,专硕,挡不住,歪曲事实,学校,陕北公学,早八都,评价,run,哥们,大学"
中国传媒大学,"想选,永远,公办,搞对象,中专学校,学府,满分,国重,性价比,各有,号牌,中专生,中传,校考,真多,廖祥忠,母校,艺校,梆子,考研,有朝一日,ma,水课,60r,平心而论,上个,职高,中国,娃娃鱼,四年,20,进都,竞先,血轮,北电,马嘉祺,yyds,大学生,全靠,朝阳,好评,国传,学校,敬业,海底,播院,最水,两年制,大专,食堂,青春,先变,211,中专,大学,男生,600,接受,挥洒,白来,氛围,49,任尔,传读,张子烨,第一,美女如云,二外,别玩,难吃,太差"
中国农业大学,"农业,祝好,中国农业大学,重复,孙上,歧视,北信科,支持,多匀,评价,过学,大学,免费餐,母校,高菊好,不吃,魂牵梦绕,学校,读博,难顶,为据,太对,中国农业银行,麻烦,先强,怀念,化学系,加油,还愿,单凭,宁根,青春,两个,我爷,满分,民生,校友,持有偏见,隔壁邻居,大学生,骄傲,211,公办,一所,孤单,环境,桂洪,中农,农大,强国,985,金码,农专,win,细说,我农,种地,哈哈哈,一流,开玩笑,高菊儿,后勤,食堂,想念,读研,毕业,西校区,11,校区,小树林,中秋月饼,之多艰,东区"
中国劳动关系学院,"学姐,二本,Again,澡堂,瑞哥,打球,西竹,岭南,大学,一星,水果店,lyp,公办,涿州,wx,增光,抛头,愈强,杨宁,校歌,劳大,香锅"
中国医科大学,"直博,酱大,一分钟,坚定,悠哉,红医班,千言万语,焦亚辉,lan,抽奖,体育老师,医大,张胤,考上,阿姨,精神,啥时候,麻辣烫,中奖率,德刚,净搁,没人,有人,bb,酱料,白楼,cmu,少开,特热,暖气,歪树子,大连,学好,天杀,母校,理解万岁,地方"
中国地质大学（北京）,"食堂,垃圾,入学,分低,五道口,雄安去,哈哈哈,地不大饭,校徽,大师,先给,北地,嘀嗒,醒醒,艰苦朴素,满分,天坑,犯事,宿舍,非要,地道,无敌,211,池浅,路过,拉爆,低估,校园,来报,青春,周口店,下水道,净劳马,哭笑不得,七年,劳马,春园,武汉,骂声,公办,老师,大人,丑不拉几,11,吃完饭,皇家,神中神,校歌,满昏,扪心,支持,设施,能源,一声令下,咱百京儿,王八,北语,学院路,减一星,回来,求真务实,母校,校训,点赞,限电,马地"
中国地质大学（武汉）,"中国,沙币,感受,永远,分数,真苦,早操,七年,个人感觉,理工学院,这所,地球科学,数码,牛魔,勘探队员,我服,砸死,关心,建议,搞基,丑男,伯分,儿子,天坑,武老七,艰苦朴素,经历,学生会,地砖,百京来,cjb,鲁磨路,宝玉石,南边,鬼楼,千万别,公办,大学,精彩,自治,正统,武老二,地大,山东,恢复,地带,满昏,少来点,x001A,人机,强多,评分,我地,则安之,本科,51,不在乎,明明,母校,地能,校区,纯纯,生涯,tm,坐稳,关怀,正课,干货,211"
中国戏曲学院,"回信,溜冰鞋,戏文,22,就别,文青,李铮,屈才,媒体,北戏,令人生厌,拉高,老破,下岗,情韵,继往开来,过成,前缀,睡觉,京剧,于魁智"
